sequence_id,timestep,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,yaw,floor_vibration,room_occupancy,pressure_mat,label
10000,0,0.07261237565805453,-0.16344639099993422,0.12070153290591791,-0.06861405113081312,-0.07627675488647125,0.07056261735981809,-0.16858943006443955,1.7756144236650961,-0.8591697847104542,0.0,1.0,0.0,walk
10000,1,0.0891871846447287,-0.023727832285043576,0.011617662214220257,0.14216612342554955,-0.11022182445674177,0.10514126234834982,1.1832650047845088,-0.004202609578947122,-0.5232102622486229,0.0,1.0,1.0,walk
10000,2,0.031132610364730792,0.1947056046931505,0.3983380175959352,0.2021114379213265,0.1459704504985726,-0.10477912959693841,0.870255579109056,1.6519426176519958,1.1468676586262647,0.0,1.0,0.0,walk
10000,3,0.3115144324836076,0.3706848358908751,-0.03714564363770264,0.010433452482657122,0.1781403972026492,0.24042319527054873,-0.006073432239686108,1.129189854727746,1.8338309938907602,0.0,1.0,0.0,walk
10000,4,0.5449992122323715,0.1716091881642525,0.38550845955758944,-0.1279816646190854,-0.1661842637569901,-0.014115027324314472,-0.12185761523270368,-1.2229868968633792,-2.236638312170532,0.0,1.0,0.0,walk
10000,5,0.05829733210448056,0.35529470799081264,0.6362205183051398,0.08275566104294867,0.0011185462543618443,-0.044179907004365956,1.6523341401618103,-0.4106598082552659,-0.46042333225206405,0.0,1.0,1.0,walk
10000,6,0.26460891209084175,0.7460618862331412,-0.03808950385345562,-0.029501419051128262,-0.050305521667149536,-0.06895311899202809,0.5368658814228681,-1.8876568698589224,-0.2401125536848704,0.0,1.0,0.0,walk
10000,7,0.4829550216166816,0.6540883333517107,-0.028784753647419125,-0.1670681825670461,0.06726589984436808,0.16155329281716,-1.8070840724913964,-0.48730905202718894,0.6445817144056155,0.0,0.0,1.0,walk
10000,8,0.6149057679005611,0.75,0.3179387530496216,-0.04531714219654346,0.005776785299176451,0.01697231001123976,0.0348621267473189,1.8813239831454176,1.67479041157423,0.0,1.0,0.0,walk
10000,9,0.3630533665748018,0.35618257812000553,0.6526552059232053,-0.016586910847580887,-0.010706369613681908,-0.0531771645771852,-2.3785026211505103,-0.7805092611098476,-0.9981146910104409,0.0,0.0,0.0,walk
10000,10,0.6751154696568342,0.7341547137589165,0.18409148053381547,-0.08105800290515472,0.05016869346979628,-0.1252132451794911,0.8379657096440131,-1.6916976606914216,-0.07171316286400463,0.0,0.0,1.0,walk
10000,11,0.48478416319626,0.3952814146357358,0.3630336061876935,0.015296048308061961,-0.1613309861157533,-0.0890005757105988,-1.0998825560428804,1.3530891278902508,0.7194945591746256,0.0,1.0,0.0,walk
10000,12,0.48939764391414403,0.06536115071522615,0.17805353028748022,0.062272120793423875,0.12621886231473906,0.04362266635190341,-0.5790579253764823,-1.7766127643188112,2.253418386667135,0.0,0.0,0.0,walk
